# captured=2026-09-19 startFrom=2025-09-19 minValue=5000000
232254 | 801943 | VLC1000653 - Ballarat Freight Hub | 14 May 2026 | 23526935.68 | V/Line | Construction Contracts | Nonresidential building construction services | Taylor Rail Australia Pty Ltd | 85136182628
230794 | GW568 | Construction of Traralgon Western Distribution Main | 12 May 2026 | 7291504.00 | Gippsland Water | Construction Contracts | Water main construction service | Jaydo Construction | 16062221596
231950 | CONS-1888 | San Remo Bridge Rehabilitation Project | 8 May 2026 | 39829678.00 | Major Road Projects Victoria | Construction Contracts | Highway and road new construction service | SRG GLOBAL CIVIL PTY LTD | 31083214439
231694 | CONS-1861 | Clyde-Fiveways Road / South Gippsland Highway / Fisheries Road Intersection Upgr | 7 May 2026 | 6576115.52 | Major Road Projects Victoria | Construction Contracts | Highway and road new construction service | NEGRI CONTRACTORS (VIC.) PTY. LTD. | 99006337239
230790 | PR571-25 | Fire Services - The Basin Fire Station - Head Contractor | 7 May 2026 | 6185491.40 | Department of Justice and Community Safety | Construction Contracts | Building and Facility Construction and Maintenance Services | INTREC Management Pty Ltd | 23073821217
232493 | 40638 | Aurora Recycled Water Facility | 5 May 2026 | 5964047.10 | Yarra Valley Water | Construction Contracts | Water and sewer utilities | |
231215 | 0006 | Construction of Rescue Vehicles | 1 May 2026 | 5600000.00 | Victoria State Emergency Service | Purchases of Goods/Services | Safety and rescue vehicles | |
232368 | CONTRACTSMAY2026 | DFFH CAPITAL CONTRACT 1 MAY TO 31 MAY 2026 | 1 May 2026 | 50117348.44 | Department of Families, Fairness and Housing - Homes Victoria & Director of Housing | Construction Contracts | Building and Facility Construction and Maintenance Services | Department of Families, Fairness and Housing | 88139482080
231244 | DOT38869 | Bridge Strengthening and Associated Works | 1 May 2026 | 5258054.94 | Department of Transport and Planning (DTP) | Construction Contracts | Bridge construction and repair service | SRG GLOBAL CIVIL PTY LTD | 31083214439
230858 | MECARFT2025 | Maintenance Early Childhood Assets | 27 Apr 2026 | 39981120.92 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | |
230439 | 5838 | Cisco equipment maintenance renewals | 23 Apr 2026 | 5864100.00 | Victoria Police | Purchases of Goods/Services | Police services | Telstra Limited | 64086174781
231125 | CONs-1903 | ITC Delivery Contract for the Bacchus Marsh Intersection Upgrades | 17 Apr 2026 | 17407196.85 | Major Road Projects Victoria | Construction Contracts | Highway and road new construction service | Ace Infrastructure Pty Ltd | 22131093
231749 | PR22000-03 | Wodonga Leneva TRES Water Main | 14 Apr 2026 | 7445709.00 | North East Water | Construction Contracts | Water and sewer utilities | Girdwood Contracting P/L | 70106454308
230959 | C13908 | Clinicians Health Channel Agreement | 9 Apr 2026 | 44735674.85 | Department of Health | Purchases of Goods/Services | Comprehensive health services | |
231040 | DOT32433 | Bridge Replacement and Bridge Strengthening Works | 7 Apr 2026 | 12186251.34 | Department of Transport and Planning (DTP) | Construction Contracts | Bridge construction and repair service | Bild Infrastructure Pty Ltd | 78099996344
230684 | CONTRACTSAPRIL2026 | DFFH CAPITAL CONTRACT 1 APRIL TO 30 APRIL 2026 | 1 Apr 2026 | 40964107.30 | Department of Families, Fairness and Housing - Homes Victoria & Director of Housing | Construction Contracts | Building and Facility Construction and Maintenance Services | Department of Families, Fairness and Housing | 88139482080
231508 | MWC14847 | Microsoft Enterprise License Agreement (2026-29) | 1 Apr 2026 | 12692604.24 | Melbourne Water | Purchases of Goods/Services | Business function specific software | Microsoft | 29002589460
229582 | 24/25-102 | Real Estate and Facilities Management Services | 1 Apr 2026 | 103012837.00 | Department of Government Services | Purchases of Goods/Services | Management and Business Professionals and Administrative Services | BGIS | 83064638197
231278 | Multiple(FOL/25/3565) | WorkSafe ICT Architecture Services Panel 2026-2029 | 1 Apr 2026 | 20000000.00 | Victorian Workcover Authority | Purchases of Goods/Services | Human resources services | Several suppliers |
231747 | CT10445 | Wodonga - Leneva Spine Sewers - Package 1 Sewer Crossing | 1 Apr 2026 | 7317606.00 | North East Water | Construction Contracts | Water and sewer utilities | Fulton Hogan Construction | 46010240758
230798 | PRC000316 | Technology One | 31 Mar 2026 | 20045000.00 | Northern Victoria Institute of TAFE | Purchases of Goods/Services | Information Technology Broadcasting and Telecommunications | Technology One Limited | 84010487180
231501 | MWC14884 | Connection of 66KV Power supply to WTP | 27 Mar 2026 | 47518000.00 | Melbourne Water | Purchases of Goods/Services | Waste water and sewage treatment plant construction service | CitiPower Powercor | 89064651109
231803 | CWFY2024S1125 | Broadford Primary School - Stage 1 Works | 25 Mar 2026 | 10402572.00 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | |
230937 | CON-00008438 | Monash Medical Centre Tower Expansion – Enhanced Design and Construct Deed | 22 Mar 2026 | 364715098.00 | Department of Health - Victorian Health Building Authority | Construction Contracts | Hospital construction service | Kane Constructions Pty Ltd | 49007354396
230757 | VN1000820 | Building Works Early Learning Childhood Centres (ELCC) 2027 Bundle 1 | 18 Mar 2026 | 28490869.00 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | |
231932 | 001900 | Specialised Treatment Maintenance, Equipment & Consumables Panel | 17 Mar 2026 | 17600000.00 | Barwon Water | Purchases of Goods/Services | Water and wastewater treatment supply and disposal | Several suppliers |
232549 | CON-00008808 | Engagement of Head Contractor - Main Works – Numurkah PSRACS project | 16 Mar 2026 | 33906631.00 | Victorian Infrastructure Delivery Authority (VIDA) - Victorian Health Building Authority | Construction Contracts | Hospital construction service | AW Nicholson Pty Ltd | 14118404381
229842 | DOT38204 | Pavement Rehabilitation | 12 Mar 2026 | 5659999.44 | Department of Transport and Planning (DTP) | Construction Contracts | Highway and road resurfacing service | Keystone Civil |
229847 | DOT41126 | Bridge Strengthening Activities | 11 Mar 2026 | 6393895.28 | Department of Transport and Planning (DTP) | Construction Contracts | Road bridge | Freyssinet Australia | 15002617736
229765 | 801914 | VLC1000503 - Geelong Tunnel Remediation Project - Design and Construction Servic | 9 Mar 2026 | 46590907.00 | V/Line | Construction Contracts | Building and Facility Construction and Maintenance Services | Acciona Rail Pty Ltd | 81101299512
230681 | CONTRACTSMARCH2026 | DFFH CAPITAL CONTRACT 1 MARCH TO 31 MARCH 2026 | 2 Mar 2026 | 38281164.86 | Department of Families, Fairness and Housing - Homes Victoria & Director of Housing | Construction Contracts | Building and Facility Construction and Maintenance Services | Department of Families, Fairness and Housing | 88139482080
229767 | 25/006 | Appliance Bay Doors, Automatic Security Gates and Automatic Glass Doors Maintena | 2 Mar 2026 | 9424908.00 | Fire Rescue Victoria | Purchases of Goods/Services | Doors | Door Repairs, Maintenance & Service | 21074102640
231827 | TAC-PA-2169,2168,2167,2166,2165 | Vocational Rehabilitation Services | 2 Mar 2026 | 94000000.00 | Transport Accident Commission | Purchases of Goods/Services | Vocational training | Several suppliers |
229182 | CWFY2024S8075 | Mordialloc College Capital Works Project | 1 Mar 2026 | 8382220.00 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | |
230017 | 1330 W2025-07 | Bendigo RWF Upgrade | 25 Feb 2026 | 10995246.00 | Coliban Region Water Corporation | Construction Contracts | Structures and Building and Construction and Manufacturing Components and Supplies | Filtec International | 78621132394
230780 | VN1001061 | Manorvale PS - Construction Contract | 25 Feb 2026 | 6733037.00 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | Melbcon Pty Ltd | 89094370457
229713 | VHBA-24-315-T-11 | Mildura Alcohol and Other Drugs Residential Facility – Main Works Contractor | 24 Feb 2026 | 24232567.70 | Victorian Infrastructure Delivery Authority (VIDA) - Victorian Health Building Authority | Construction Contracts | Hospital construction service | AW Nicholson Pty Ltd | 14118404381
230124 | DJR116750 | Malmsbury Recommissioning- Head Contractor | 23 Feb 2026 | 7925271.80 | Department of Justice and Community Safety | Construction Contracts | Building and Facility Construction and Maintenance Services | Fairbrother Pty Ltd | 51009510561
229082 | CWFY2024S4366 | McKinnon Primary School Capital Works Project | 12 Feb 2026 | 8893962.00 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | |
231588 | MWC14631 | ETP Combined Dredging & Dewatering Operations | 10 Feb 2026 | 5000000.00 | Melbourne Water | Purchases of Goods/Services | Waste water and sewage treatment plant construction service | |
232433 | BWDC-W1553-001998 | Clifton Springs Tank Renewal D&C | 6 Feb 2026 | 6806746.57 | Barwon Water | Construction Contracts | Water and wastewater treatment supply and disposal | Keystone Civil | 11167195619
230604 | VN1001005 | Buckley Park College - Construction Contract | 5 Feb 2026 | 11361487.00 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | Hutchinson Builders | 52009778330
232019 | VLC1000651 | Supplementary Coach Service (VLC1000651) | 3 Feb 2026 | 5500000.00 | V/Line | Purchases of Goods/Services | Passenger road transportation | sunshine scenic tours pty ltd | 93664545260
229253 | PAT-2526-42 | Cape Conran Water and Wastewater Works | 3 Feb 2026 | 7167146.44 | Parks Victoria | Construction Contracts | Nonresidential building construction services | CCB Envico | 73106515066
230678 | CONTRACTSFEBRUARY2026 | DFFH CAPITAL CONTRACT 1 FEBRUARY TO 28 FEBRUARY 2026 | 2 Feb 2026 | 73624192.91 | Department of Families, Fairness and Housing - Homes Victoria & Director of Housing | Construction Contracts | Building and Facility Construction and Maintenance Services | Department of Families, Fairness and Housing | 88139482080
231448 | 15995 | White Swan Reservoir Dam Safety Upgrade | 1 Feb 2026 | 8000000.00 | Central Highlands Water | Construction Contracts | Heavy construction services | Entracon Civil Pty Ltd | 35118370077
229441 | 15643A | Provision of Engineering Services | 1 Feb 2026 | 14800000.00 | Central Highlands Water | Purchases of Goods/Services | Professional engineering services | AECOM | 20093846925
229553 | 1057070 | Phase 3 of Expansion of the High Intensity OSHC Initiative | 27 Jan 2026 | 6074680.00 | Department of Education | Purchases of Goods/Services | Education and Training Services | Several suppliers |
232112 | VN1000958-2 | Drouin Secondary College Construct Only Contractor | 21 Jan 2026 | 6843868.90 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | Bowden Corporation Pty Ltd | 55097029993
